image_name,folder_name,image_id,label,set
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/63.jpg,7,63,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/823.jpg,7,823,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/189.jpg,7,189,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/77.jpg,7,77,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/837.jpg,7,837,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/638.jpg,7,638,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/604.jpg,7,604,7,val
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/162.jpg,7,162,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/176.jpg,7,176,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/88.jpg,7,88,7,test
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/610.jpg,7,610,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/348.jpg,7,348,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/360.jpg,7,360,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/406.jpg,7,406,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/412.jpg,7,412,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/374.jpg,7,374,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/599.jpg,7,599,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/228.jpg,7,228,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/214.jpg,7,214,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/572.jpg,7,572,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/566.jpg,7,566,7,train
/Users/kimhakhyun/Desktop/Git/capstone/Capstone/data/7/200.jpg,7,200,7,train
